Name,Code,Region,Industry,is_alive,expiry_date
"AN HUI WENERGY CO.,LTD",000543,East China,Utilities,1,
"CENTRAL PLAINS ENVIRONMENT PROTECTION CO.,LTD",000544,Central China,Utilities,1,
"GPRO TITANIUM INDUSTRY  CO.,LTD",000545,NorthEast China,Manufacturing,1,
"Jinyuan EP Co.,Ltd.",000546,NorthEast China,Environment Protection,1,
Addsino Co.?Ltd,000547,East China,Manufacturing,1,
"HUNAN INVESTMENT GROUP CO.,LTD",000548,Central China,Transportation,1,
"Torch Automobile Group Co.,Ltd.",000549,Central China,Comprehensive,0,2007-04
"JIANGLING MOTORS CO., LTD",000550,East China,Manufacturing,1,
"CREATE TECHNOLOGY & SCIENCE CO.,LTD",000551,East China,Comprehensive,1,
"GANSU JINGYUAN COAL INDUSTRY AND ELECTRICITY POWER CO., LTD",000552,NorthWest China,Mining,1,
ADAMA Ltd.,000553,Central China,Manufacturing,1,
"SINOPEC SHANDONG TAISHAN PETROLEUM CO.,LTD.",000554,East China,Wholesale & Retail,1,
Digital China Information Service Company Ltd.,000555,South China,Information Technology,1,
"Nanyang Shipping Group Stock Holding Co.,ltd.",000556,South China,Trading,0,2002-06
"Ningxia Western Venture Industrial Co., Ltd.",000557,NorthWest China,Transportation,1,
"LANDER SPORTS DEVELOPMENT  CO.,LTD",000558,East China,Estate,1,
"WANXIANG QIANCHAO CO.,LTD",000559,East China,Manufacturing,1,
"5I5J HOLDING GROUP CO., LTD.",000560,SouthWest China,Estate,1,
"Shaanxi Fenghuo Electronics Co., Ltd.",000561,NorthWest China,Manufacturing,1,
"SHAANXI INTERNATIONAL TRUST CO.,LTD.",000563,NorthWest China,Financial,1,
"CCOOP GROUP CO.,LTD",000564,NorthWest China,Wholesale & Retail,1,
"CHONGQING SANXIA PAINTS CO.,LTD",000565,SouthWest China,Manufacturing,1,
"HAINAN HAIYAO CO.,LTD",000566,South China,Manufacturing,1,
"HAINAN HAIDE CAPITAL MANAGEMENT CO., LTD.",000567,South China,Financial,1,
"LUZHOU LAO JIAO CO.,LTD",000568,SouthWest China,Manufacturing,1,
"CHANGCHAI COMPANY,LIMITED",000570,East China,Manufacturing,1,
"SUNDIRO HOLDING CO., LTD.",000571,South China,Comprehensive,1,
"Haima Automobile Co.,Ltd.",000572,South China,Manufacturing,1,
"DongGuan Winnerway Industrial Zone Co., Ltd.",000573,South China,Estate,1,
"Guangdong Ganhua Science & Industry Co., Ltd.",000576,South China,Manufacturing,1,
"WEIFU HIGH-TECHNOLOGY GROUP CO.,LTD.",000581,East China,Manufacturing,1,
"Beibu Gulf Port Co., Ltd.",000582,South China,Transportation,1,
"Sichuan Topsoft Investment Co.,ltd.",000583,SouthWest China,Information Technology,0,2007-05
"JIANGSU HAGONG INTELLIGENT ROBOT CO.,LTD",000584,East China,Manufacturing,1,
NORTHEAST ELECTRIC DEVELOPMENT COMPANY LIMITED,000585,South China,Manufacturing,1,
"SICHUAN HUIYUAN OPTICAL COMMUNICATIONS CO.,LTD.",000586,SouthWest China,Manufacturing,1,
"JINZHOU CIHANG GROUP CO., LTD",000587,NorthEast China,Manufacturing,1,
"Guangdong Guosheng High Technology Co.,ltd.",000588,South China,Environment Protection,0,2001-06
"GUI ZHOU TYRE CO., LTD.",000589,SouthWest China,Manufacturing,1,
"TUS-PHARMACEUTICAL GROUP CO., LTD.",000590,Central China,Manufacturing,1,
"CECEP Solar Energy Co.,Ltd.",000591,SouthWest China,Utilities,1,
ZHONGFU STRAITS (PINGTAN) DEVELOPMENT COMPANY LIMITED,000592,East China,Agriculture,1,
"SICHUAN DATONG GAS DEVELOPMENT CO.,LTD.",000593,SouthWest China,Utilities,1,
